,CRSHDATE,CRSHTIME,LATDECDG,LONDECDG,ANMLTY01,ANMLTY07,countyname,year,Road
2416,2017-03-05,2018,45.058211111,-91.4650618,Bear,,Chippewa,2017,US Highway053
2588,2017-03-07,1913,44.951783953,-90.97335012,Bear,,Chippewa,2017,State Highway029
2589,2017-03-07,1913,44.951783953,-90.97335008,Bear,,Chippewa,2017,State Highway029
2590,2017-03-07,1913,44.951783953,-90.97335008,Bear,,Chippewa,2017,State Highway029
2669,2017-03-10,2153,45.06139212,-91.4649631,Bear,,Chippewa,2017,US Highway053
2791,2017-03-09,1957,45.162015984,-89.07552982,Bear,,Langlade,2017,State Highway064
3351,2017-03-31,2245,45.555903643,-87.99693103,Bear,,Marinette,2017,US Highway141
3370,2017-03-31,2202,44.500651238,-91.12598303,Bear,,Jackson,2017,Interstate094
3794,2017-04-11,616,44.944004601,-90.51067803,Bear,,Clark,2017,State Highway029
3908,2017-04-18,352,44.93676091,-91.09693107,Bear,,Chippewa,2017,State Highway029
4014,2017-04-17,2350,44.903736435,-91.7948378,Bear,,Dunn,2017,Interstate094
4015,2017-04-17,2350,44.903736435,-91.7948378,Bear,,Dunn,2017,Interstate094
4206,2017-04-25,2217,45.02441145,-89.66882329,Bear,,Marathon,2017,US Highway051
4248,2017-04-25,2342,45.080699872,-92.74796098,Bear,,St. Croix,2017,State Highway035
4300,2017-04-23,1235,45.853472433,-88.33713336,Bear,,Florence,2017,State Highway101
4381,2017-04-28,2200,45.165385611,-87.99637923,Bear,,Marinette,2017,US Highway141
4463,2017-04-30,25,44.803813717,-91.55643574,Bear,,Eau Claire,2017,Interstate094
4551,2017-05-02,418,45.553718158,-91.76459519,Bear,,Barron,2017,US Highway053
4629,2017-05-04,2149,44.998235031,-88.33397141,Bear,,Oconto,2017,State Highway032
4741,2017-05-04,2139,44.741930199,-90.81525211,Bear,,Clark,2017,WILLARD RD - Clark
4864,2017-05-08,2313,45.149087952,-89.87361288,Bear,,Lincoln,2017,State Highway064
4978,2017-05-13,32,44.599821305,-89.65521899,Bear,,Portage,2017,US Highway010
5096,2017-05-11,120,44.78607915,-91.36892695,Bear,,Eau Claire,2017,US Highway012
5171,2017-05-17,915,45.655239904,-87.96259285,Bear,,Marinette,2017,US Highway008
5226,2017-05-07,26,45.113288243,-88.27917415,Bear,,Oconto,2017,State Highway064
5241,2017-05-10,2300,45.808235384,-88.21920433,Bear,,Florence,2017,County HighwayN
5297,2017-05-19,320,44.56722204,-89.59560665,Bear,,Portage,2017,Interstate039
5333,2017-05-20,2224,44.796803751,-88.79511983,Bear,,Shawano,2017,State Highway029
5349,2017-05-14,2248,44.752994539,-89.68017251,Bear,,Marathon,2017,Interstate039
5350,2017-05-14,2248,44.752997782,-89.68017253,Bear,,Marathon,2017,Interstate039
5732,2017-05-01,2214,45.432081359,-89.13578901,Bear,,Langlade,2017,County HighwayK
5824,2017-05-27,2352,44.717424212,-88.44588427,Bear,,Shawano,2017,State Highway047
5914,2017-05-30,115,44.944626796,-90.36559503,Bear,,Clark,2017,State Highway029
6202,2017-05-27,1217,45.02916175,-89.18392353,Bear,,Shawano,2017,US Highway045
6399,2017-05-14,1009,46.19174455,-90.62515021,Bear,,Ashland,2017,State Highway013
6411,2017-05-13,257,46.31692998,-91.81181066,Bear,,Douglas,2017,US Highway053
6496,2017-06-03,147,45.555065996,-89.95794013,Bear,,Lincoln,2017,US Highway008
6501,2017-06-05,47,45.140592185,-90.38361277,Bear,,Taylor,2017,State Highway064
6742,2017-06-07,2302,45.622234972,-89.45452226,Bear,,Oneida,2017,US Highway008
6926,2017-06-10,2230,45.39601824,-92.47848258,Bear,,Polk,2017,US Highway008
6987,2017-06-12,702,45.475681843,-88.67537462,Bear,,Forest,2017,State Highway032
7017,2017-06-11,1330,45.931378197,-92.36216198,Bear,,Burnett,2017,State Highway035
7027,2017-06-11,2225,45.67350298,-91.52004825,Bear,,Sawyer,2017,State Highway048
7080,2017-06-10,951,45.109588864,-88.0845069,Bear,,Marinette,2017,State Highway064
7243,2017-06-11,21,45.428253451,-91.76245141,Bear,,Barron,2017,US Highway053
7293,2017-06-17,2200,45.256314332,-89.68340601,Bear,,Lincoln,2017,US Highway051
7348,2017-06-18,2237,45.235632472,-89.65040898,Bear,,Lincoln,2017,County HighwayC
7351,2017-06-18,2251,45.814824592,-89.31999168,Bear,,Oneida,2017,State Highway017
7358,2017-06-18,632,43.943483861,-90.73158728,Bear,,Monroe,2017,Interstate090
7361,2017-06-15,2150,45.381181617,-91.32773922,Bear,,Rusk,2017,State Highway040
7397,2017-06-19,4,46.071306,-91.669276,Bear,,Washburn,2017,State Highway077
7469,2017-06-18,2233,45.246411926,-87.99370501,Bear,,Marinette,2017,US Highway141
7592,2017-06-20,2128,44.243406786,-90.73074163,Bear,,Jackson,2017,Interstate094
7802,2017-06-23,2130,44.7715,-91.1393,Bear,,Eau Claire,2017,State Highway027
7822,2017-06-22,2156,44.795622769,-88.69989102,Bear,,Shawano,2017,State Highway029
7849,2017-06-17,1625,45.880688639,-88.30830899,Bear,,Florence,2017,State Highway101
8289,2017-06-27,1638,44.986236177,-89.21627837,Bear,,Shawano,2017,County HighwayZ
8306,2017-06-30,21,44.767280163,-91.41765149,Bear,,Eau Claire,2017,Interstate094
8311,2017-06-23,2206,45.309551474,-91.110838,Bear,,Rusk,2017,State Highway027
8413,2017-07-02,1840,45.241416636,-88.17855267,Bear,,Marinette,2017,County HighwayW
8414,2017-07-01,2155,45.216257418,-87.99637107,Bear,,Marinette,2017,US Highway141
8550,2017-07-04,1625,45.674854955,-92.63175532,Bear,,Burnett,2017,CEDAR POINT RD - Burnett
8641,2017-07-08,2200,45.402358993,-92.6352131,Bear,,Polk,2017,State Highway035
8665,2017-07-09,25,44.790349351,-91.39244183,Bear,,Eau Claire,2017,US Highway012
8820,2017-07-07,2156,44.228993376,-90.70664534,Bear,,Jackson,2017,Interstate094
8848,2017-07-13,2201,45.555277486,-89.66999456,Bear,,Lincoln,2017,US Highway051
9164,2017-07-21,615,45.202096643,-88.58663787,Bear,,Oconto,2017,State Highway064
9190,2017-07-22,1349,44.926751657,-91.42811266,Bear,,Chippewa,2017,US Highway053
9255,2017-07-13,2300,46.32856374,-91.82182982,Bear,,Douglas,2017,US Highway053
9280,2017-07-23,2137,44.796712089,-88.04955996,Bear,,Oconto,2017,US Highway141
9315,2017-07-29,2155,44.944298915,-89.78183763,Bear,,Marathon,2017,State Highway029
9319,2017-07-29,2150,44.944287944,-89.77614004,Bear,,Marathon,2017,State Highway029
9334,2017-07-30,2104,45.631569171,-91.77991445,Bear,,Barron,2017,US Highway053
9448,2017-07-29,2251,45.660497796,-91.79216147,Bear,,Washburn,2017,US Highway053
9449,2017-07-29,2249,45.660497796,-91.79216147,Bear,,Washburn,2017,US Highway053
9505,2017-07-21,2300,45.971854882,-92.364511,Bear,,Burnett,2017,State Highway035
9530,2017-07-12,20,46.609203724,-90.77152166,Bear,,Ashland,2017,US Highway002
9818,2017-08-06,1442,45.623233119,-89.6844778,Bear,,Oneida,2017,US Highway051
9828,2017-08-12,1235,46.002007509,-92.36315646,Bear,,Burnett,2017,State Highway035
9855,2017-08-12,2135,45.259034044,-89.68366946,Bear,,Lincoln,2017,US Highway051
9898,2017-08-04,2232,44.704418193,-88.37246078,Bear,,Shawano,2017,State Highway029
10079,2017-08-21,2145,44.803989026,-88.98918083,Bear,,Shawano,2017,State Highway029
10135,2017-08-14,40,46.609344478,-91.92091114,Bear,,Douglas,2017,US Highway002
10367,2017-08-31,1405,44.885272555,-88.81395786,Bear,,Shawano,2017,W TOWN HALL RD - Shawano
10511,2017-09-01,1841,45.203435219,-88.52736934,Bear,,Oconto,2017,State Highway064
10713,2017-09-09,2011,44.937258279,-91.12039845,Bear,,Chippewa,2017,State Highway029
10828,2017-09-10,2045,45.307246968,-89.68480349,Bear,,Lincoln,2017,US Highway051
10941,2017-09-04,1125,45.51337733,-91.7610393,Bear,,Barron,2017,US Highway053
11034,2017-09-15,1942,45.572620918,-89.68050624,Bear,,Oneida,2017,US Highway051
11057,2017-09-19,2022,44.725850248,-88.43697975,Bear,,Shawano,2017,State Highway029
11076,2017-09-20,2119,45.657655,-91.790687,Bear,,Washburn,2017,US Highway053
11155,2017-09-23,1912,45.168106203,-88.93395959,Bear,,Langlade,2017,State Highway064
11297,2017-09-27,540,45.866694,-91.832575,Bear,,Washburn,2017,US Highway053
11391,2017-09-28,2040,45.079467557,-92.44963822,Bear,,St. Croix,2017,County HighwayG
11537,2017-09-29,2043,44.97170058,-88.03731393,Bear,,Oconto,2017,US Highway141
11538,2017-09-17,24,46.647792007,-91.95066974,Bear,,Douglas,2017,State Highway013
11629,2017-09-30,2245,46.366997531,-91.13007649,Bear,,Bayfield,2017,US Highway063
11659,2017-09-16,2330,46.525827873,-91.84887365,Bear,,Douglas,2017,US Highway053
11666,2017-09-21,1647,45.746885404,-89.14265163,Bear,,Oneida,2017,US Highway045
11723,2017-10-03,608,45.586725259,-89.44880359,Bear,,Oneida,2017,State Highway017
11830,2017-10-04,451,45.027488499,-90.9841495,Bear,,Chippewa,2017,County HighwayG
12116,2017-10-09,1956,45.120175704,-91.406459,Bear,,Chippewa,2017,State Highway064
12119,2017-10-06,2140,46.131941338,-91.81904286,Bear,,Washburn,2017,US Highway053
12669,2017-10-16,2040,45.381064443,-89.67106569,Bear,,Lincoln,2017,US Highway051
12747,2017-10-16,1902,45.442481774,-87.97580636,Bear,,Marinette,2017,US Highway141
12774,2017-10-18,2020,45.599640567,-89.30402801,Bear,,Oneida,2017,US Highway008
12775,2017-10-18,444,45.611204252,-89.54521474,Bear,,Oneida,2017,US Highway008
12839,2017-10-18,1840,43.945976983,-90.33900157,Bear,,Monroe,2017,US Highway012
12874,2017-10-19,1929,44.796907605,-88.7373042,Bear,,Shawano,2017,State Highway029
12906,2017-10-19,1745,45.464649706,-91.15605025,Bear,,Rusk,2017,US Highway008
13380,2017-10-24,2215,46.512802284,-90.51340905,Bear,,Iron,2017,US Highway002
13403,2017-10-25,2309,44.847914642,-92.44575997,Bear,,Pierce,2017,State Highway029
13458,2017-10-25,630,45.528280908,-90.68543483,Bear,,Rusk,2017,US Highway008
14702,2017-10-19,556,44.940744573,-90.60542811,Bear,,Clark,2017,State Highway029
14761,2017-10-30,2000,46.447763753,-90.84054451,Bear,,Ashland,2017,State Highway013
15109,2017-11-02,1905,45.483910988,-89.50748774,Bear,,Lincoln,2017,County HighwayD
15637,2017-11-03,2024,45.730154003,-91.81597582,Bear,,Washburn,2017,State Highway253
16060,2017-11-12,1715,45.105597941,-89.84445753,Bear,,Marathon,2017,State Highway107
16255,2017-11-09,1806,45.709516846,-92.34566133,Bear,,Polk,2017,90TH ST - Polk
16954,2017-11-16,1904,44.911908805,-91.29919445,Bear,,Chippewa,2017,State Highway029
16955,2017-11-16,1904,44.911899152,-91.30049155,Bear,,Chippewa,2017,State Highway029
16961,2017-11-17,317,45.202257603,-88.54793427,Bear,,Oconto,2017,State Highway064
17287,2017-11-16,1821,44.997175406,-92.49672853,Bear,,St. Croix,2017,150TH ST - St. Croix
17306,2017-11-17,2055,45.204358735,-90.51114268,Bear,,Taylor,2017,County HighwayM
17499,2017-11-14,2203,43.95914752,-90.36703679,Bear,,Monroe,2017,Interstate090
17707,2017-11-22,2105,45.423793857,-89.1861528,Bear,,Langlade,2017,US Highway045
17923,2017-11-24,539,44.936682822,-91.10957282,Bear,,Chippewa,2017,State Highway029
18028,2017-11-23,1816,44.95196728,-90.995034,Bear,,Chippewa,2017,State Highway029
18369,2017-11-30,1907,45.15562551,-91.10567743,Bear,,Chippewa,2017,County HighwayEE
18580,2017-11-23,2050,44.889290042,-91.73746607,Bear,,Dunn,2017,Interstate094
18616,2017-11-30,2120,44.941891967,-91.73134959,Bear,,Dunn,2017,State Highway040
18735,2017-11-28,1832,45.7750694,-91.91845903,Bear,,Washburn,2017,TOZER LAKE RD - Washburn
18768,2017-11-16,2123,46.154700598,-90.79674351,Bear,,Ashland,2017,State Highway077
18770,2017-11-16,2210,46.500358797,-90.90955699,Bear,,Ashland,2017,State Highway112
18887,2017-12-02,2118,46.238475754,-91.80068129,Bear,,Douglas,2017,US Highway053
18899,2017-12-01,2030,45.004049112,-91.44174407,Bear,,Chippewa,2017,US Highway053
22795,2018-02-20,2025,45.063424653,-91.46540136,Bear,,Chippewa,2018,US Highway053
24098,2018-03-27,2135,44.881941578,-89.35286698,Bear,,Marathon,2018,State Highway029
24271,2018-03-28,2200,45.755282402,-92.38153816,Bear,,Burnett,2018,State Highway035
24687,2018-04-08,620,43.300899351,-89.58595075,Bear,,Columbia,2018,State Highway060
24875,2018-04-12,2125,45.689896587,-91.80164977,Bear,,Washburn,2018,US Highway053
25323,2018-04-23,2106,45.168113551,-88.93428587,Bear,,Langlade,2018,State Highway064
25441,2018-04-28,2200,45.816650686,-92.35609165,Bear,,Burnett,2018,State Highway070
25507,2018-04-26,325,44.917109964,-92.08077947,Bear,,Dunn,2018,Interstate094
25659,2018-05-01,225,44.973084849,-89.65642561,Bear,,Marathon,2018,US Highway051
25741,2018-05-03,1632,45.685595793,-91.80045833,Bear,,Washburn,2018,US Highway053
25755,2018-05-06,2310,45.118189574,-91.51992036,Bear,,Chippewa,2018,US Highway053
25856,2018-05-10,511,45.815092389,-91.9865208,Bear,,Washburn,2018,State Highway070
25977,2018-05-11,2308,44.453159321,-89.51854414,Bear,,Portage,2018,Interstate039
26090,2018-05-16,2104,44.908293439,-88.04639092,Bear,,Oconto,2018,US Highway141
26112,2018-05-16,2115,46.226919394,-90.14503037,Bear,,Iron,2018,US Highway051
26201,2018-05-19,2202,45.938198806,-91.70123733,Bear,,Washburn,2018,US Highway063
26285,2018-05-22,428,44.455921449,-88.55075742,Bear,,Outagamie,2018,State Highway054
26332,2018-05-14,2124,44.919039207,-88.44883118,Bear,,Oconto,2018,County HighwayR
26488,2018-05-24,2330,44.908978519,-89.64841416,Bear,,Marathon,2018,US Highway051
26519,2018-05-24,2150,44.829339291,-87.92702914,Bear,,Oconto,2018,US Highway041
26585,2018-05-25,2242,45.556561685,-89.65181127,Bear,,Oneida,2018,US Highway008
26609,2018-05-26,2200,45.317113652,-89.68464591,Bear,,Lincoln,2018,US Highway051
27326,2018-05-28,415,44.648192841,-88.05013097,Bear,,Brown,2018,US Highway041
27387,2018-05-27,2143,45.99758899,-91.50813025,Bear,,Sawyer,2018,US Highway063
27614,2018-06-01,2132,44.967848959,-88.03585449,Bear,,Oconto,2018,US Highway141
27725,2018-06-01,1801,46.541209671,-91.25734796,Bear,,Bayfield,2018,US Highway002
27908,2018-06-08,2315,44.945232262,-90.14760466,Bear,,Marathon,2018,State Highway029
27956,2018-06-10,2200,43.973713022,-89.49596968,Bear,,Marquette,2018,Interstate039
27961,2018-06-11,12,45.428427396,-88.63564486,Bear,,Forest,2018,State Highway032
28156,2018-06-08,2226,44.794609185,-91.43329303,Bear,,Eau Claire,2018,US Highway012
28469,2018-06-15,2240,45.813516371,-91.58911151,Bear,,Washburn,2018,State Highway070
28620,2018-06-20,2322,44.86051045,-88.08903432,Bear,,Oconto,2018,County HighwayI
28623,2018-06-20,741,44.886542942,-88.07277206,Bear,,Oconto,2018,State Highway022
28745,2018-06-16,2341,45.295529273,-92.52105473,Bear,,Polk,2018,County HighwayK
28820,2018-06-21,1928,44.886572535,-88.0675846,Bear,,Oconto,2018,State Highway022
28918,2018-06-25,1505,44.938476255,-90.2937106,Bear,,Marathon,2018,State Highway029
28990,2018-06-26,1211,44.800783967,-89.85603833,Bear,,Marathon,2018,State Highway153
29005,2018-06-27,2219,45.563796562,-89.16646115,Bear,,Oneida,2018,US Highway045
29186,2018-06-29,2225,45.456936051,-91.76013686,Bear,,Barron,2018,US Highway053
29372,2018-06-29,2358,44.796879875,-88.81244464,Bear,,Shawano,2018,State Highway029
29387,2018-06-05,38,46.542894593,-90.58435111,Bear,,Ashland,2018,US Highway002
29525,2018-07-01,1206,45.366439726,-91.71866609,Bear,,Barron,2018,US Highway053
29536,2018-07-02,2244,45.363788928,-92.16684288,Bear,,Polk,2018,US Highway063
29541,2018-07-02,2357,44.859660643,-89.27932861,Bear,,Marathon,2018,State Highway029
29546,2018-07-02,1500,45.107202409,-92.71637879,Bear,,St. Croix,2018,State Highway035
29568,2018-07-02,1714,45.558853996,-91.60133265,Bear,,Barron,2018,State Highway048
29631,2018-07-04,2323,44.464082036,-89.51854744,Bear,,Portage,2018,Interstate039
29704,2018-07-03,310,45.121422439,-88.01719806,Bear,,Marinette,2018,US Highway141
29731,2018-07-03,2244,46.505970598,-90.49473924,Bear,,Iron,2018,US Highway002
29778,2018-07-06,1415,45.191482958,-91.56049462,Bear,,Chippewa,2018,US Highway053
29910,2018-07-05,2308,45.58749295,-91.76116901,Bear,,Barron,2018,US Highway053
29965,2018-07-08,900,44.236140321,-90.71609361,Bear,,Jackson,2018,Interstate094
29977,2018-07-15,2038,45.041915721,-89.65986497,Bear,,Marathon,2018,US Highway051
29985,2018-07-12,2204,45.823902857,-92.31011869,Bear,,Burnett,2018,State Highway070
30088,2018-07-16,1922,44.826452036,-87.93062559,Bear,,Oconto,2018,US Highway041
30149,2018-07-18,2345,45.17625004,-92.67227128,Bear,,St. Croix,2018,State Highway035
30156,2018-07-18,1043,45.276792078,-89.15045182,Bear,,Langlade,2018,US Highway045
30234,2018-07-05,900,44.837601271,-88.62154185,Bear,,Shawano,2018,State Highway047
30334,2018-07-24,2141,44.856497173,-87.89905472,Bear,,Oconto,2018,US Highway041
30532,2018-07-30,1809,45.626066628,-89.43074267,Bear,,Oneida,2018,US Highway008
30818,2018-08-06,1700,46.315434049,-90.15520525,Bear,,Iron,2018,US Highway051
