,CRSHDATE,CRSHTIME,LATDECDG,LONDECDG,ANMLTY01,ANMLTY07,countyname,year,Road
64,2017-01-04,1711,43.627781,-87.7700041,Other Non Domesticated,,Sheboygan,2017,Interstate043
172,2017-01-05,916,43.509651337,-89.57544777,Other Non Domesticated,,Columbia,2017,State Highway033
479,2017-01-13,600,43.736433953,-90.79924497,Other Non Domesticated,,Monroe,2017,State Highway027
563,2017-01-19,1941,45.798653182,-91.85046986,Other Non Domesticated,,Washburn,2017,US Highway053
713,2017-01-10,652,43.618595123,-88.82434082,Other Non Domesticated,,Dodge,2017,LAKE EMILY RD - Dodge
721,2017-01-21,2300,43.527430275,-87.99491082,Other Non Domesticated,,Ozaukee,2017,JAY RD - Ozaukee
867,2017-01-28,1958,44.951752227,-90.98776987,Other Non Domesticated,,Chippewa,2017,State Highway029
1117,2017-01-29,2135,43.399449176,-88.46805843,Other Non Domesticated,,Dodge,2017,ILLINOIS RD - Dodge
1195,2017-02-02,1935,44.951906332,-90.72106306,Other Non Domesticated,,Clark,2017,State Highway029
1461,2017-02-09,1854,42.932383836,-88.22871913,Other Non Domesticated,,Waukesha,2017,State Highway164
1531,2017-02-11,2130,44.046768208,-90.41278643,Other Non Domesticated,,Monroe,2017,State Highway173
1837,2017-02-16,2139,42.947460863,-88.11706204,Other Non Domesticated,,Waukesha,2017,Interstate043
2158,2017-02-25,2336,43.590755096,-89.87653791,Other Non Domesticated,,Sauk,2017,County HighwayP
2186,2017-02-26,2026,45.53137085,-91.90652552,Other Non Domesticated,,Barron,2017,State Highway048
2579,2017-03-04,1752,44.031920441,-90.5124227,Other Non Domesticated,,Monroe,2017,Interstate094
2911,2017-03-17,1814,43.014698532,-89.23591709,Other Non Domesticated,,Dane,2017,Interstate039
3020,2017-03-19,1740,45.400892601,-91.78239316,Other Non Domesticated,,Barron,2017,County HighwayW
3122,2017-03-27,46,43.570503582,-89.20607024,Other Non Domesticated,,Columbia,2017,State Highway033
3128,2017-03-28,332,43.661030589,-88.51386821,Other Non Domesticated,,Fond du Lac,2017,County HighwayF
3223,2017-03-13,814,43.014721877,-88.81555618,Other Non Domesticated,,Jefferson,2017,WINDSOR TER - Jefferson
3673,2017-04-05,2335,44.311306384,-90.80419976,Other Non Domesticated,,Jackson,2017,State Highway054
3680,2017-04-05,1057,44.490295831,-88.09193384,Other Non Domesticated,,Brown,2017,State Highway172
