,CRSHDATE,CRSHTIME,LATDECDG,LONDECDG,ANMLTY01,ANMLTY07,countyname,year,Road
92,2017-01-08,210,42.650719379,-90.57416158,Raccoon(s),,Grant,2017,US Highway151
183,2017-01-03,2252,42.926577671,-88.93153105,Raccoon(s),,Jefferson,2017,State Highway106
747,2017-01-18,2330,42.536711745,-90.25065981,Raccoon(s),,Lafayette,2017,CTH W - Lafayette
779,2017-01-18,2215,44.14150335,-88.96716288,Raccoon(s),,Waushara,2017,CTH H - Waushara
829,2017-01-10,2100,42.71545241,-89.94045038,Raccoon(s),,Lafayette,2017,State Highway081
833,2017-01-19,2205,42.752786864,-90.11853967,Raccoon(s),,Lafayette,2017,State Highway023
834,2017-01-20,1825,42.667411039,-90.37795972,Raccoon(s),,Lafayette,2017,State Highway081
836,2017-01-22,1852,42.676589339,-90.05791709,Raccoon(s),,Lafayette,2017,State Highway081
890,2017-01-18,1745,43.347405373,-88.47072648,Raccoon(s),,Dodge,2017,GRANT RD - Dodge
971,2017-01-28,2030,42.754868598,-90.32252937,Raccoon(s),,Lafayette,2017,US Highway151
1023,2017-01-29,2213,44.035085096,-89.20490665,Raccoon(s),,Waushara,2017,CTH F - Waushara
1123,2017-01-27,2045,43.768774199,-91.0491324,Raccoon(s),,La Crosse,2017,CTH M - La Crosse
1644,2017-02-11,1900,43.7990667,-87.96157412,Raccoon(s),,Sheboygan,2017,County HighwayE
1809,2017-02-15,545,42.799365499,-88.60285952,Raccoon(s),,Walworth,2017,US Highway012
1932,2017-02-16,2040,43.50869997,-88.121595,Raccoon(s),,Washington,2017,State Highway144
2053,2017-02-16,700,43.448226421,-90.72208207,Raccoon(s),,Vernon,2017,US Highway014
2092,2017-02-23,258,43.774867051,-88.84561481,Raccoon(s),,Fond du Lac,2017,RADIO RD - Fond du Lac
2121,2017-02-21,1928,43.626635115,-88.44080076,Raccoon(s),,Dodge,2017,Interstate041
2265,2017-02-19,1859,44.276658656,-87.65727235,Raccoon(s),,Manitowoc,2017,HILLVIEW RD - Manitowoc
2279,2017-02-21,2339,43.590759292,-89.86437618,Raccoon(s),,Sauk,2017,County HighwayP
2293,2017-02-27,2350,43.632526078,-89.05952597,Raccoon(s),,Green Lake,2017,N COUNTY LINE RD - Green Lake
2334,2017-02-23,333,42.688166494,-89.36762404,Raccoon(s),,Green,2017,State Highway104
2494,2017-03-04,45,43.65858608,-88.26035092,Raccoon(s),,Fond du Lac,2017,US Highway045
2572,2017-03-12,37,42.710936898,-90.50839317,Raccoon(s),,Grant,2017,US Highway151
3017,2017-03-20,550,45.104991117,-92.72903144,Raccoon(s),,St. Croix,2017,State Highway035
3174,2017-03-25,2115,43.902422098,-90.19907083,Raccoon(s),,Juneau,2017,Interstate090
3232,2017-03-24,2220,42.814562845,-90.83541038,Raccoon(s),,Grant,2017,State Highway035
3489,2017-04-04,2312,44.944265006,-89.96988681,Raccoon(s),,Marathon,2017,State Highway029
3770,2017-04-11,2345,44.304537745,-87.54617051,Raccoon(s),,Manitowoc,2017,LAKESHORE RD - Manitowoc
4148,2017-04-21,2300,43.090784738,-88.90224721,Raccoon(s),,Jefferson,2017,Interstate094
4189,2017-04-25,525,43.053949176,-88.40063153,Raccoon(s),,Waukesha,2017,Interstate094
4255,2017-04-22,2130,42.542429877,-90.25066653,Raccoon(s),,Lafayette,2017,County HighwayO
4354,2017-04-30,2146,44.911674934,-87.8790236,Raccoon(s),,Oconto,2017,US Highway041
4480,2017-04-28,2100,43.512959517,-91.21403276,Raccoon(s),,Vernon,2017,State Highway035
4711,2017-05-07,2211,43.833822,-87.88012901,Raccoon(s),,Sheboygan,2017,County HighwayA
4984,2017-05-12,2235,43.637094663,-89.01679703,Raccoon(s),,Green Lake,2017,State Highway073
5000,2017-05-14,57,43.248306645,-87.91969371,Raccoon(s),,Ozaukee,2017,Interstate043
5071,2017-05-12,2121,43.494754933,-90.01393054,Raccoon(s),,Sauk,2017,State Highway023
5205,2017-05-15,200,43.149880528,-90.05981801,Raccoon(s),,Sauk,2017,State Highway023
5531,2017-05-14,830,43.988347048,-90.52461923,Raccoon(s),,Monroe,2017,County HighwayET
5593,2017-05-19,542,42.814050294,-90.25729665,Raccoon(s),,Lafayette,2017,US Highway151
6016,2017-05-31,2228,43.544052382,-89.20411408,Raccoon(s),,Columbia,2017,County HighwayP
6272,2017-05-28,100,43.259229656,-89.38417369,Raccoon(s),,Dane,2017,Interstate039
6327,2017-05-27,2150,42.892105948,-89.37184939,Raccoon(s),,Dane,2017,County HighwayMM
6546,2017-06-01,2157,44.869656758,-92.44512018,Raccoon(s),,St. Croix,2017,County HighwayM
6679,2017-06-06,2303,43.166679959,-90.64373549,Raccoon(s),,Grant,2017,State Highway133
6698,2017-06-03,1347,43.108774001,-89.09087409,Raccoon(s),,Dane,2017,Interstate094
6828,2017-06-03,249,44.364213282,-90.82119301,Raccoon(s),,Jackson,2017,US Highway012
7244,2017-06-15,37,43.018791134,-89.24313228,Raccoon(s),,Dane,2017,Interstate039
7463,2017-06-17,2150,43.671111751,-88.65013388,Raccoon(s),,Fond du Lac,2017,US Highway151
7480,2017-06-08,2145,42.940004467,-88.60358312,Raccoon(s),,Jefferson,2017,County HighwayCI
7545,2017-06-17,243,44.60354048,-88.44618368,Raccoon(s),,Shawano,2017,State Highway156
7653,2017-06-19,430,42.886453009,-90.1656899,Raccoon(s),,Iowa,2017,US Highway151
7860,2017-06-16,106,43.103290107,-88.37256732,Raccoon(s),,Waukesha,2017,State Highway016
7923,2017-06-27,2128,43.661582259,-89.46591702,Raccoon(s),,Marquette,2017,County HighwayCX
8029,2017-06-30,405,42.859643817,-87.93754827,Raccoon(s),,Milwaukee,2017,Interstate041
8106,2017-06-25,437,43.221523016,-88.02232087,Raccoon(s),,Ozaukee,2017,State Highway167
8227,2017-06-28,505,43.891929505,-91.04336485,Raccoon(s),,La Crosse,2017,Interstate090
8284,2017-06-27,2300,42.707575941,-90.70166422,Raccoon(s),,Grant,2017,STAGE RD - Grant
8363,2017-06-12,2314,42.778447893,-88.24363074,Raccoon(s),,Racine,2017,State Highway083
8407,2017-07-01,2250,43.28034425,-87.9107838,Raccoon(s),,Ozaukee,2017,County HighwayC
8556,2017-07-01,2145,42.670783539,-89.66091009,Raccoon(s),,Green,2017,County HighwayN
8600,2017-07-05,2300,43.541157332,-90.87949348,Raccoon(s),,Vernon,2017,US Highway014
8620,2017-07-08,450,43.61768183,-87.7701753,Raccoon(s),,Sheboygan,2017,Interstate043
8747,2017-07-11,2310,43.638104167,-87.87025538,Raccoon(s),,Sheboygan,2017,County HighwayW
8760,2017-07-11,2128,43.857980912,-88.70463371,Raccoon(s),,Fond du Lac,2017,OLDEN RD - Fond du Lac
8773,2017-07-04,100,42.964363683,-89.04002503,Raccoon(s),,Dane,2017,County HighwayB
8825,2017-07-11,200,44.802394772,-91.55546123,Raccoon(s),,Eau Claire,2017,Interstate094
8993,2017-07-18,45,45.238301036,-90.78261677,Raccoon(s),,Taylor,2017,State Highway073
9385,2017-07-24,2115,42.824982702,-89.15263882,Raccoon(s),,Rock,2017,State Highway059
9523,2017-07-27,2101,46.654571792,-90.91688874,Raccoon(s),,Bayfield,2017,State Highway013
10263,2017-08-26,130,44.009748053,-87.72019322,Raccoon(s),,Manitowoc,2017,Interstate043
10290,2017-08-23,19,44.963784553,-92.64655517,Raccoon(s),,St. Croix,2017,Interstate094
10461,2017-09-01,2149,43.444309416,-90.74023007,Raccoon(s),,Vernon,2017,US Highway014
10564,2017-09-06,333,43.784669255,-88.5684587,Raccoon(s),,Fond du Lac,2017,State Highway023
10565,2017-09-05,2150,43.790640355,-88.40063548,Raccoon(s),,Fond du Lac,2017,US Highway151
10701,2017-09-08,2303,45.616552493,-89.49890895,Raccoon(s),,Oneida,2017,US Highway008
10743,2017-09-12,55,44.597763596,-89.70906318,Raccoon(s),,Portage,2017,US Highway010
10997,2017-09-18,530,43.070630091,-88.58109725,Raccoon(s),,Jefferson,2017,Interstate094
11091,2017-09-21,535,43.783197629,-88.31412003,Raccoon(s),,Fond du Lac,2017,State Highway023
11373,2017-09-27,540,43.463383634,-88.06073824,Raccoon(s),,Washington,2017,County HighwayM
11480,2017-09-24,17,44.747707946,-88.61805144,Raccoon(s),,Shawano,2017,State Highway022
11577,2017-09-24,2050,44.465820432,-88.06919112,Raccoon(s),,Brown,2017,State Highway032
11682,2017-10-01,1959,43.745905877,-87.74436641,Raccoon(s),,Sheboygan,2017,County HighwayTA
11745,2017-10-01,530,43.020519375,-90.8525791,Raccoon(s),,Grant,2017,State Highway133
11774,2017-10-04,600,44.715671758,-87.68082556,Raccoon(s),,Door,2017,State Highway057
11795,2017-10-04,2134,45.14236006,-90.17530839,Raccoon(s),,Taylor,2017,State Highway064
11985,2017-10-07,2304,43.771650413,-87.82008019,Raccoon(s),,Sheboygan,2017,State Highway032
12129,2017-10-10,6,43.784722442,-88.57533317,Raccoon(s),,Fond du Lac,2017,State Highway023
12202,2017-10-11,240,44.826248131,-87.49634514,Raccoon(s),,Door,2017,County HighwayC
12212,2017-10-05,829,43.499517502,-88.32193359,Raccoon(s),,Washington,2017,County HighwayW
12423,2017-10-13,2222,42.777045066,-90.6781849,Raccoon(s),,Grant,2017,AIRPORT RD - Grant
12533,2017-10-10,2200,43.617872318,-90.1479528,Raccoon(s),,Sauk,2017,State Highway033
12730,2017-10-18,2022,42.96361898,-90.6494453,Raccoon(s),,Grant,2017,US Highway061
12899,2017-10-17,2002,44.483756588,-88.45172689,Raccoon(s),,Outagamie,2017,State Highway047
13024,2017-10-20,2200,43.948741219,-88.50931077,Raccoon(s),,Winnebago,2017,US Highway045
13202,2017-10-15,2011,43.331955579,-88.32973083,Raccoon(s),,Washington,2017,HILLDALE RD - Washington
13261,2017-10-21,1920,43.716702,-87.815972,Raccoon(s),,Sheboygan,2017,State Highway032
13775,2017-10-27,1840,43.835550455,-87.88108419,Raccoon(s),,Sheboygan,2017,County HighwayM
13882,2017-10-23,315,42.649834688,-90.32800503,Raccoon(s),,Lafayette,2017,County HighwayI
13973,2017-10-27,2320,43.324228083,-88.19924743,Raccoon(s),,Washington,2017,State Highway060
14109,2017-10-30,1935,45.117617619,-92.7042235,Raccoon(s),,St. Croix,2017,County HighwayVV
14200,2017-10-31,558,44.054944669,-89.21550428,Raccoon(s),,Waushara,2017,State Highway021
14523,2017-10-26,600,42.714936002,-89.94359992,Raccoon(s),,Lafayette,2017,State Highway081
14770,2017-10-15,2218,42.562859883,-88.19489585,Raccoon(s),,Kenosha,2017,County HighwayW
14849,2017-11-01,1855,43.498234759,-88.09013572,Raccoon(s),,Washington,2017,County HighwayH
15667,2017-11-08,2100,42.747943759,-90.53822514,Raccoon(s),,Grant,2017,County HighwayB
17017,2017-11-11,2147,43.411779581,-88.6539606,Raccoon(s),,Dodge,2017,County HighwayS
18242,2017-11-29,430,42.907998279,-90.74958875,Raccoon(s),,Grant,2017,County HighwayK
18356,2017-11-20,2033,42.810236387,-87.83188793,Raccoon(s),,Racine,2017,State Highway032
18922,2017-12-04,1911,43.557217172,-87.99943097,Raccoon(s),,Sheboygan,2017,State Highway144
19059,2017-12-06,2100,43.93122171,-88.48432631,Raccoon(s),,Winnebago,2017,US Highway045
19100,2017-12-07,1818,44.389491937,-88.57671865,Raccoon(s),,Outagamie,2017,State Highway076
19695,2017-12-18,530,43.585145942,-88.12037253,Raccoon(s),,Sheboygan,2017,County HighwayHH
19851,2017-12-11,625,43.242642155,-88.033432,Raccoon(s),,Ozaukee,2017,FARMDALE RD - Ozaukee
19913,2017-12-19,1630,43.139169972,-88.57565283,Raccoon(s),,Jefferson,2017,State Highway016
20614,2017-12-10,2200,42.693052691,-89.8403738,Raccoon(s),,Lafayette,2017,State Highway081
21095,2018-01-11,30,43.592758816,-88.43063482,Raccoon(s),,Dodge,2018,Interstate041
21439,2018-01-21,529,44.76001605,-87.54729959,Raccoon(s),,Door,2018,State Highway057
21717,2018-01-27,1906,43.5289609,-89.87219652,Raccoon(s),,Sauk,2018,State Highway033
21736,2018-01-24,15,43.782683477,-89.07449796,Raccoon(s),,Green Lake,2018,State Highway073
21802,2018-01-29,2357,44.210222493,-87.74355361,Raccoon(s),,Manitowoc,2018,Interstate043
21965,2018-01-29,2357,45.037442504,-91.61114671,Raccoon(s),,Chippewa,2018,County HighwayDD
22022,2018-01-27,515,42.667888798,-90.06681217,Raccoon(s),,Lafayette,2018,ROLLER COASTER RD - Lafayette
22104,2018-01-28,1925,42.954820334,-89.20089431,Raccoon(s),,Dane,2018,County HighwayN
22154,2018-02-01,1804,43.580103495,-88.34061852,Raccoon(s),,Fond du Lac,2018,ROLLING DR - Fond du Lac
22632,2018-02-16,19,44.72480011,-89.67334747,Raccoon(s),,Marathon,2018,Interstate039
22777,2018-02-19,610,43.529136405,-88.22038931,Raccoon(s),,Washington,2018,County HighwayS
22802,2018-02-21,2120,44.381434922,-88.60009654,Raccoon(s),,Outagamie,2018,County HighwayS
22816,2018-02-21,1923,44.796767585,-88.86320243,Raccoon(s),,Shawano,2018,State Highway029
22895,2018-02-22,2050,43.792172191,-87.76435144,Raccoon(s),,Sheboygan,2018,Interstate043
22968,2018-02-25,148,43.725741148,-88.57581012,Raccoon(s),,Fond du Lac,2018,US Highway151
23028,2018-02-26,2014,44.062950684,-90.52040909,Raccoon(s),,Monroe,2018,ELLSWORTH RD - Monroe
23080,2018-02-27,2313,42.698719311,-88.08060626,Raccoon(s),,Racine,2018,County HighwayC
23107,2018-02-23,1900,44.037095779,-87.97756341,Raccoon(s),,Manitowoc,2018,US Highway151
23118,2018-02-25,2234,43.345251362,-89.76624528,Raccoon(s),,Sauk,2018,OLD BLUFF TRL - Sauk
23270,2018-03-03,28,45.052356277,-92.37512803,Raccoon(s),,St. Croix,2018,US Highway063
23385,2018-03-08,1945,44.497064412,-88.27093831,Raccoon(s),,Outagamie,2018,MOORE RD - Outagamie
23506,2018-03-13,130,44.150819464,-88.66408498,Raccoon(s),,Winnebago,2018,US Highway045
23587,2018-03-11,2200,43.614076589,-90.88355472,Raccoon(s),,Vernon,2018,US Highway014
23665,2018-03-02,503,43.333887581,-88.73646764,Raccoon(s),,Dodge,2018,State Highway026
24101,2018-03-27,2101,44.744483392,-87.37694985,Raccoon(s),,Door,2018,SHILOH RD - Door
24306,2018-03-31,2140,43.108700093,-89.12325124,Raccoon(s),,Dane,2018,Interstate094
24462,2018-03-17,50,42.612001502,-88.08666701,Raccoon(s),,Kenosha,2018,County HighwayJB
24559,2018-04-01,2103,43.015862193,-88.82845361,Raccoon(s),,Jefferson,2018,State Highway026
25121,2018-04-20,550,42.643658694,-88.72001235,Raccoon(s),,Walworth,2018,State Highway011
25138,2018-04-23,2108,45.078424799,-91.47949921,Raccoon(s),,Chippewa,2018,US Highway053
25180,2018-04-22,2230,43.980141882,-90.42563626,Raccoon(s),,Monroe,2018,Interstate090
25274,2018-04-25,2030,42.754029005,-88.67655298,Raccoon(s),,Walworth,2018,County HighwayP
25278,2018-04-05,2319,42.893330287,-89.3090012,Raccoon(s),,Dane,2018,County HighwayA
25331,2018-04-27,2253,45.011757602,-89.66336579,Raccoon(s),,Marathon,2018,US Highway051
25374,2018-04-30,336,42.789772268,-90.45587528,Raccoon(s),,Grant,2018,State Highway080
25439,2018-04-28,1856,42.750310005,-90.55475321,Raccoon(s),,Grant,2018,County HighwayB
25483,2018-04-27,2315,43.086990764,-88.75006362,Raccoon(s),,Jefferson,2018,Interstate094
25499,2018-04-18,214,42.726377936,-88.99250656,Raccoon(s),,Rock,2018,State Highway026
25557,2018-04-28,2050,43.590065329,-90.68218472,Raccoon(s),,Vernon,2018,State Highway082
25876,2018-05-10,2205,43.129342687,-88.2841327,Raccoon(s),,Waukesha,2018,County HighwayMD
25883,2018-05-10,126,43.330411768,-88.2588155,Raccoon(s),,Washington,2018,Interstate041
26032,2018-05-15,1826,44.961328945,-92.19648578,Raccoon(s),,St. Croix,2018,State Highway128
26307,2018-05-18,2042,46.841451264,-91.18894645,Raccoon(s),,Bayfield,2018,State Highway013
26323,2018-05-18,120,42.9406474,-90.42825111,Raccoon(s),,Iowa,2018,State Highway080
26328,2018-05-20,225,44.33923961,-87.84143785,Raccoon(s),,Brown,2018,Interstate043
26450,2018-05-20,2200,43.46219801,-88.40787712,Raccoon(s),,Dodge,2018,State Highway175
26709,2018-05-23,1630,43.781578163,-89.38768734,Raccoon(s),,Marquette,2018,County HighwayC
27162,2018-05-30,2355,42.63976884,-88.39624508,Raccoon(s),,Walworth,2018,State Highway036
27272,2018-05-30,2340,43.400445922,-88.32169073,Raccoon(s),,Washington,2018,Interstate041
27720,2018-06-05,2215,42.967559044,-90.30315688,Raccoon(s),,Iowa,2018,US Highway018
27777,2018-06-06,51,43.053646028,-88.39755641,Raccoon(s),,Waukesha,2018,Interstate094
27793,2018-06-06,2353,42.609171572,-90.53282337,Raccoon(s),,Grant,2018,County HighwayHH
28008,2018-06-08,2305,43.7674507,-87.88549707,Raccoon(s),,Sheboygan,2018,County HighwayO
28092,2018-06-09,100,43.194729105,-88.87514556,Raccoon(s),,Jefferson,2018,State Highway019
28140,2018-06-11,2230,44.109505296,-87.7347389,Raccoon(s),,Manitowoc,2018,County HighwayJJ
28259,2018-06-10,2152,43.858938826,-88.88397233,Raccoon(s),,Fond du Lac,2018,State Highway023
28511,2018-06-20,0,43.56721623,-88.06613837,Raccoon(s),,Sheboygan,2018,State Highway028
28578,2018-06-14,115,43.512783999,-88.57121662,Raccoon(s),,Dodge,2018,County HighwayTW
28842,2018-06-15,1907,42.828755116,-88.21445638,Raccoon(s),,Racine,2018,N LAKE DR - Racine
28981,2018-06-27,424,44.297713671,-88.31797206,Raccoon(s),,Outagamie,2018,Interstate041
29480,2018-06-20,740,43.047841567,-89.01806803,Raccoon(s),,Dane,2018,LONDON RD - Dane
29624,2018-07-05,130,43.605653713,-88.43181098,Raccoon(s),,Dodge,2018,Interstate041
29858,2018-07-06,345,45.634753738,-92.47345594,Raccoon(s),,Polk,2018,State Highway035
29912,2018-07-10,2330,44.920023582,-91.34598788,Raccoon(s),,Chippewa,2018,State Highway029
30064,2018-07-15,2230,44.524694957,-88.19036558,Raccoon(s),,Outagamie,2018,County HighwayU
30189,2018-07-06,335,43.671225828,-91.0672064,Raccoon(s),,Vernon,2018,State Highway162
30192,2018-07-14,2151,42.678814373,-88.22037877,Raccoon(s),,Racine,2018,State Highway011
30273,2018-07-20,2100,43.280149131,-87.92957841,Raccoon(s),,Ozaukee,2018,County HighwayC
30361,2018-07-25,514,43.87179412,-91.21198623,Raccoon(s),,La Crosse,2018,US Highway053
30395,2018-07-27,49,43.729349548,-88.5693713,Raccoon(s),,Fond du Lac,2018,US Highway151
30415,2018-07-19,110,42.576946904,-88.31563108,Raccoon(s),,Walworth,2018,EASTSIDE RD - Walworth
30488,2018-07-11,2313,44.236975125,-91.75807162,Raccoon(s),,Buffalo,2018,State Highway088
30595,2018-07-28,2244,44.443558684,-87.63606514,Raccoon(s),,Kewaunee,2018,State Highway029
30613,2018-07-13,1330,42.748976252,-90.32893601,Raccoon(s),,Lafayette,2018,US Highway151
30619,2018-07-21,2237,42.7626416,-90.12103238,Raccoon(s),,Lafayette,2018,State Highway023
30732,2018-08-02,2346,43.108767864,-89.09114735,Raccoon(s),,Dane,2018,Interstate094
30909,2018-08-07,2140,44.443469505,-87.59126401,Raccoon(s),,Kewaunee,2018,State Highway029
30947,2018-08-15,1131,43.949823601,-91.08764584,Raccoon(s),,La Crosse,2018,County HighwayC
31359,2018-08-30,2215,45.071552454,-92.77545416,Raccoon(s),,St. Croix,2018,State Highway035
